id;nome;selecao/pagina;numero;posicao;raridade;status;caminho_da_imagem
brasil-1962-gilmar-11;Gilmar;Brasil 1962;1;Goleiro;comum;histórico;assets/images/stickers/brasil-1962/brasil-1962-gilmar-11.webp
brasil-1962-zozimo-12;Zózimo;Brasil 1962;2;Zagueiro;comum;histórico;assets/images/stickers/brasil-1962/brasil-1962-zozimo-12.webp
brasil-1970-pele-01;Pelé;Brasil 1970;10;Atacante;lendaria;histórico;assets/images/stickers/brasil-1970/brasil-1970-pele-01.webp
brasil-1970-jairzinho-02;Jairzinho;Brasil 1970;7;Atacante;lendaria;histórico;assets/images/stickers/brasil-1970/brasil-1970-jairzinho-02.webp
brasil-1970-tostao-03;Tostão;Brasil 1970;9;Atacante;ouro;histórico;assets/images/stickers/brasil-1970/brasil-1970-tostao-03.webp
brasil-1970-rivelino-04;Rivelino;Brasil 1970;11;Meia;ouro;histórico;assets/images/stickers/brasil-1970/brasil-1970-rivelino-04.webp
brasil-1970-carlos-alberto-05;Carlos Alberto;Brasil 1970;4;Lateral;ouro;histórico;assets/images/stickers/brasil-1970/brasil-1970-carlos-alberto-05.webp
brasil-1970-gerson-06;Gérson;Brasil 1970;8;Meia;ouro;histórico;assets/images/stickers/brasil-1970/brasil-1970-gerson-06.webp
brasil-1970-clodoaldo-07;Clodoaldo;Brasil 1970;5;Volante;rara;histórico;assets/images/stickers/brasil-1970/brasil-1970-clodoaldo-07.webp
brasil-1970-piazza-08;Piazza;Brasil 1970;6;Zagueiro;rara;histórico;assets/images/stickers/brasil-1970/brasil-1970-piazza-08.webp
brasil-1970-felix-09;Félix;Brasil 1970;1;Goleiro;rara;histórico;assets/images/stickers/brasil-1970/brasil-1970-felix-09.webp
brasil-1970-brito-10;Brito;Brasil 1970;2;Zagueiro;comum;histórico;assets/images/stickers/brasil-1970/brasil-1970-brito-10.webp
brasil-1970-everaldo-11;Everaldo;Brasil 1970;3;Lateral;comum;histórico;assets/images/stickers/brasil-1970/brasil-1970-everaldo-11.webp
brasil-1970-paulo-cesar-caju-12;Paulo César Caju;Brasil 1970;16;Atacante;comum;histórico;assets/images/stickers/brasil-1970/brasil-1970-paulo-cesar-caju-12.webp
brasil-1994-romario-01;Romário;Brasil 1994;11;Atacante;lendaria;histórico;assets/images/stickers/brasil-1994/brasil-1994-romario-01.webp
brasil-1994-bebeto-02;Bebeto;Brasil 1994;7;Atacante;ouro;histórico;assets/images/stickers/brasil-1994/brasil-1994-bebeto-02.webp
brasil-1994-dunga-03;Dunga;Brasil 1994;8;Volante;ouro;histórico;assets/images/stickers/brasil-1994/brasil-1994-dunga-03.webp
brasil-1994-taffarel-04;Taffarel;Brasil 1994;1;Goleiro;ouro;histórico;assets/images/stickers/brasil-1994/brasil-1994-taffarel-04.webp
brasil-1994-jorginho-05;Jorginho;Brasil 1994;2;Lateral;rara;histórico;assets/images/stickers/brasil-1994/brasil-1994-jorginho-05.webp
brasil-1994-branco-06;Branco;Brasil 1994;6;Lateral;rara;histórico;assets/images/stickers/brasil-1994/brasil-1994-branco-06.webp
brasil-1994-marcio-santos-07;Márcio Santos;Brasil 1994;15;Zagueiro;rara;histórico;assets/images/stickers/brasil-1994/brasil-1994-marcio-santos-07.webp
brasil-1994-aldair-08;Aldair;Brasil 1994;13;Zagueiro;rara;histórico;assets/images/stickers/brasil-1994/brasil-1994-aldair-08.webp
brasil-1994-mauro-silva-09;Mauro Silva;Brasil 1994;5;Volante;rara;histórico;assets/images/stickers/brasil-1994/brasil-1994-mauro-silva-09.webp
brasil-1994-zinho-10;Zinho;Brasil 1994;9;Meia;comum;histórico;assets/images/stickers/brasil-1994/brasil-1994-zinho-10.webp
brasil-1994-rai-11;Raí;Brasil 1994;10;Meia;comum;histórico;assets/images/stickers/brasil-1994/brasil-1994-rai-11.webp
brasil-1994-mazinho-12;Mazinho;Brasil 1994;17;Meia;comum;histórico;assets/images/stickers/brasil-1994/brasil-1994-mazinho-12.webp
brasil-2002-ronaldo-01;Ronaldo;Brasil 2002;9;Atacante;lendaria;histórico;assets/images/stickers/brasil-2002/brasil-2002-ronaldo-01.webp
brasil-2002-ronaldinho-02;Ronaldinho;Brasil 2002;11;Meia;lendaria;histórico;assets/images/stickers/brasil-2002/brasil-2002-ronaldinho-02.webp
brasil-2002-rivaldo-03;Rivaldo;Brasil 2002;10;Meia;lendaria;histórico;assets/images/stickers/brasil-2002/brasil-2002-rivaldo-03.webp
brasil-2002-cafu-04;Cafu;Brasil 2002;2;Lateral;ouro;histórico;assets/images/stickers/brasil-2002/brasil-2002-cafu-04.webp
brasil-2002-roberto-carlos-05;Roberto Carlos;Brasil 2002;6;Lateral;ouro;histórico;assets/images/stickers/brasil-2002/brasil-2002-roberto-carlos-05.webp
brasil-2002-marcos-06;Marcos;Brasil 2002;1;Goleiro;ouro;histórico;assets/images/stickers/brasil-2002/brasil-2002-marcos-06.webp
brasil-2002-kaka-07;Kaká;Brasil 2002;23;Meia;rara;histórico;assets/images/stickers/brasil-2002/brasil-2002-kaka-07.webp
brasil-2002-lucio-08;Lúcio;Brasil 2002;3;Zagueiro;rara;histórico;assets/images/stickers/brasil-2002/brasil-2002-lucio-08.webp
brasil-2002-edmilson-09;Edmílson;Brasil 2002;5;Zagueiro;rara;histórico;assets/images/stickers/brasil-2002/brasil-2002-edmilson-09.webp
brasil-2002-gilberto-silva-10;Gilberto Silva;Brasil 2002;8;Volante;rara;histórico;assets/images/stickers/brasil-2002/brasil-2002-gilberto-silva-10.webp
brasil-2002-kleberson-11;Kléberson;Brasil 2002;15;Meia;comum;histórico;assets/images/stickers/brasil-2002/brasil-2002-kleberson-11.webp
brasil-2002-denilson-12;Denílson;Brasil 2002;17;Atacante;comum;histórico;assets/images/stickers/brasil-2002/brasil-2002-denilson-12.webp
wc26-canada-davies-01;Davies;Canadá;19;Lateral;ouro;parcial;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-davies-01.webp
wc26-canada-david-02;David;Canadá;20;Atacante;rara;parcial;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-david-02.webp
wc26-canada-larin-03;Larin;Canadá;17;Atacante;comum;parcial;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-larin-03.webp
wc26-canada-crepeau-04;Crépeau;Canadá;16;Goleiro;comum;parcial;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-crepeau-04.webp
wc26-canada-jogador-05-a-confirmar-05;Jogador 05 — a confirmar;Canadá;5;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-05-a-confirmar-05.webp
wc26-canada-jogador-06-a-confirmar-06;Jogador 06 — a confirmar;Canadá;6;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-06-a-confirmar-06.webp
wc26-canada-jogador-07-a-confirmar-07;Jogador 07 — a confirmar;Canadá;7;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-07-a-confirmar-07.webp
wc26-canada-jogador-08-a-confirmar-08;Jogador 08 — a confirmar;Canadá;8;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-08-a-confirmar-08.webp
wc26-canada-jogador-09-a-confirmar-09;Jogador 09 — a confirmar;Canadá;9;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-09-a-confirmar-09.webp
wc26-canada-jogador-10-a-confirmar-10;Jogador 10 — a confirmar;Canadá;10;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-10-a-confirmar-10.webp
wc26-canada-jogador-11-a-confirmar-11;Jogador 11 — a confirmar;Canadá;11;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-11-a-confirmar-11.webp
wc26-canada-jogador-12-a-confirmar-12;Jogador 12 — a confirmar;Canadá;12;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-12-a-confirmar-12.webp
wc26-canada-jogador-13-a-confirmar-13;Jogador 13 — a confirmar;Canadá;13;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-13-a-confirmar-13.webp
wc26-canada-jogador-14-a-confirmar-14;Jogador 14 — a confirmar;Canadá;14;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-14-a-confirmar-14.webp
wc26-canada-jogador-15-a-confirmar-15;Jogador 15 — a confirmar;Canadá;15;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-15-a-confirmar-15.webp
wc26-canada-jogador-16-a-confirmar-16;Jogador 16 — a confirmar;Canadá;16;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-16-a-confirmar-16.webp
wc26-canada-jogador-17-a-confirmar-17;Jogador 17 — a confirmar;Canadá;17;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-17-a-confirmar-17.webp
wc26-canada-jogador-18-a-confirmar-18;Jogador 18 — a confirmar;Canadá;18;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-18-a-confirmar-18.webp
wc26-canada-jogador-19-a-confirmar-19;Jogador 19 — a confirmar;Canadá;19;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-19-a-confirmar-19.webp
wc26-canada-jogador-20-a-confirmar-20;Jogador 20 — a confirmar;Canadá;20;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-20-a-confirmar-20.webp
wc26-canada-jogador-21-a-confirmar-21;Jogador 21 — a confirmar;Canadá;21;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-21-a-confirmar-21.webp
wc26-canada-jogador-22-a-confirmar-22;Jogador 22 — a confirmar;Canadá;22;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-22-a-confirmar-22.webp
wc26-canada-jogador-23-a-confirmar-23;Jogador 23 — a confirmar;Canadá;23;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-23-a-confirmar-23.webp
wc26-canada-jogador-24-a-confirmar-24;Jogador 24 — a confirmar;Canadá;24;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-24-a-confirmar-24.webp
wc26-canada-jogador-25-a-confirmar-25;Jogador 25 — a confirmar;Canadá;25;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-25-a-confirmar-25.webp
wc26-canada-jogador-26-a-confirmar-26;Jogador 26 — a confirmar;Canadá;26;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-canada/wc26-canada-jogador-26-a-confirmar-26.webp
wc26-mexico-santiago-gimenez-01;Santiago Giménez;México;9;Atacante;rara;parcial;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-santiago-gimenez-01.webp
wc26-mexico-lozano-02;Lozano;México;22;Ponta;rara;parcial;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-lozano-02.webp
wc26-mexico-edson-alvarez-03;Edson Álvarez;México;4;Volante;comum;parcial;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-edson-alvarez-03.webp
wc26-mexico-ochoa-04;Ochoa;México;13;Goleiro;comum;parcial;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-ochoa-04.webp
wc26-mexico-jogador-05-a-confirmar-05;Jogador 05 — a confirmar;México;5;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-05-a-confirmar-05.webp
wc26-mexico-jogador-06-a-confirmar-06;Jogador 06 — a confirmar;México;6;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-06-a-confirmar-06.webp
wc26-mexico-jogador-07-a-confirmar-07;Jogador 07 — a confirmar;México;7;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-07-a-confirmar-07.webp
wc26-mexico-jogador-08-a-confirmar-08;Jogador 08 — a confirmar;México;8;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-08-a-confirmar-08.webp
wc26-mexico-jogador-09-a-confirmar-09;Jogador 09 — a confirmar;México;9;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-09-a-confirmar-09.webp
wc26-mexico-jogador-10-a-confirmar-10;Jogador 10 — a confirmar;México;10;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-10-a-confirmar-10.webp
wc26-mexico-jogador-11-a-confirmar-11;Jogador 11 — a confirmar;México;11;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-11-a-confirmar-11.webp
wc26-mexico-jogador-12-a-confirmar-12;Jogador 12 — a confirmar;México;12;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-12-a-confirmar-12.webp
wc26-mexico-jogador-13-a-confirmar-13;Jogador 13 — a confirmar;México;13;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-13-a-confirmar-13.webp
wc26-mexico-jogador-14-a-confirmar-14;Jogador 14 — a confirmar;México;14;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-14-a-confirmar-14.webp
wc26-mexico-jogador-15-a-confirmar-15;Jogador 15 — a confirmar;México;15;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-15-a-confirmar-15.webp
wc26-mexico-jogador-16-a-confirmar-16;Jogador 16 — a confirmar;México;16;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-16-a-confirmar-16.webp
wc26-mexico-jogador-17-a-confirmar-17;Jogador 17 — a confirmar;México;17;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-17-a-confirmar-17.webp
wc26-mexico-jogador-18-a-confirmar-18;Jogador 18 — a confirmar;México;18;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-18-a-confirmar-18.webp
wc26-mexico-jogador-19-a-confirmar-19;Jogador 19 — a confirmar;México;19;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-19-a-confirmar-19.webp
wc26-mexico-jogador-20-a-confirmar-20;Jogador 20 — a confirmar;México;20;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-20-a-confirmar-20.webp
wc26-mexico-jogador-21-a-confirmar-21;Jogador 21 — a confirmar;México;21;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-21-a-confirmar-21.webp
wc26-mexico-jogador-22-a-confirmar-22;Jogador 22 — a confirmar;México;22;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-22-a-confirmar-22.webp
wc26-mexico-jogador-23-a-confirmar-23;Jogador 23 — a confirmar;México;23;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-23-a-confirmar-23.webp
wc26-mexico-jogador-24-a-confirmar-24;Jogador 24 — a confirmar;México;24;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-24-a-confirmar-24.webp
wc26-mexico-jogador-25-a-confirmar-25;Jogador 25 — a confirmar;México;25;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-25-a-confirmar-25.webp
wc26-mexico-jogador-26-a-confirmar-26;Jogador 26 — a confirmar;México;26;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-mexico/wc26-mexico-jogador-26-a-confirmar-26.webp
wc26-estados-unidos-pulisic-01;Pulisic;Estados Unidos;10;Atacante;ouro;parcial;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-pulisic-01.webp
wc26-estados-unidos-reyna-02;Reyna;Estados Unidos;7;Meia;rara;parcial;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-reyna-02.webp
wc26-estados-unidos-mckennie-03;McKennie;Estados Unidos;8;Meia;comum;parcial;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-mckennie-03.webp
wc26-estados-unidos-turner-04;Turner;Estados Unidos;1;Goleiro;comum;parcial;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-turner-04.webp
wc26-estados-unidos-jogador-05-a-confirmar-05;Jogador 05 — a confirmar;Estados Unidos;5;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-05-a-confirmar-05.webp
wc26-estados-unidos-jogador-06-a-confirmar-06;Jogador 06 — a confirmar;Estados Unidos;6;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-06-a-confirmar-06.webp
wc26-estados-unidos-jogador-07-a-confirmar-07;Jogador 07 — a confirmar;Estados Unidos;7;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-07-a-confirmar-07.webp
wc26-estados-unidos-jogador-08-a-confirmar-08;Jogador 08 — a confirmar;Estados Unidos;8;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-08-a-confirmar-08.webp
wc26-estados-unidos-jogador-09-a-confirmar-09;Jogador 09 — a confirmar;Estados Unidos;9;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-09-a-confirmar-09.webp
wc26-estados-unidos-jogador-10-a-confirmar-10;Jogador 10 — a confirmar;Estados Unidos;10;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-10-a-confirmar-10.webp
wc26-estados-unidos-jogador-11-a-confirmar-11;Jogador 11 — a confirmar;Estados Unidos;11;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-11-a-confirmar-11.webp
wc26-estados-unidos-jogador-12-a-confirmar-12;Jogador 12 — a confirmar;Estados Unidos;12;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-12-a-confirmar-12.webp
wc26-estados-unidos-jogador-13-a-confirmar-13;Jogador 13 — a confirmar;Estados Unidos;13;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-13-a-confirmar-13.webp
wc26-estados-unidos-jogador-14-a-confirmar-14;Jogador 14 — a confirmar;Estados Unidos;14;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-14-a-confirmar-14.webp
wc26-estados-unidos-jogador-15-a-confirmar-15;Jogador 15 — a confirmar;Estados Unidos;15;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-15-a-confirmar-15.webp
wc26-estados-unidos-jogador-16-a-confirmar-16;Jogador 16 — a confirmar;Estados Unidos;16;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-16-a-confirmar-16.webp
wc26-estados-unidos-jogador-17-a-confirmar-17;Jogador 17 — a confirmar;Estados Unidos;17;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-17-a-confirmar-17.webp
wc26-estados-unidos-jogador-18-a-confirmar-18;Jogador 18 — a confirmar;Estados Unidos;18;Meia;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-18-a-confirmar-18.webp
wc26-estados-unidos-jogador-19-a-confirmar-19;Jogador 19 — a confirmar;Estados Unidos;19;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-19-a-confirmar-19.webp
wc26-estados-unidos-jogador-20-a-confirmar-20;Jogador 20 — a confirmar;Estados Unidos;20;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-20-a-confirmar-20.webp
wc26-estados-unidos-jogador-21-a-confirmar-21;Jogador 21 — a confirmar;Estados Unidos;21;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-21-a-confirmar-21.webp
wc26-estados-unidos-jogador-22-a-confirmar-22;Jogador 22 — a confirmar;Estados Unidos;22;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-22-a-confirmar-22.webp
wc26-estados-unidos-jogador-23-a-confirmar-23;Jogador 23 — a confirmar;Estados Unidos;23;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-23-a-confirmar-23.webp
wc26-estados-unidos-jogador-24-a-confirmar-24;Jogador 24 — a confirmar;Estados Unidos;24;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-24-a-confirmar-24.webp
wc26-estados-unidos-jogador-25-a-confirmar-25;Jogador 25 — a confirmar;Estados Unidos;25;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-25-a-confirmar-25.webp
wc26-estados-unidos-jogador-26-a-confirmar-26;Jogador 26 — a confirmar;Estados Unidos;26;Atacante;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-estados-unidos/wc26-estados-unidos-jogador-26-a-confirmar-26.webp
wc26-panama-jogador-01-a-confirmar-01;Jogador 01 — a confirmar;Panamá;1;Goleiro;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-panama/wc26-panama-jogador-01-a-confirmar-01.webp
wc26-panama-jogador-02-a-confirmar-02;Jogador 02 — a confirmar;Panamá;2;Goleiro;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-panama/wc26-panama-jogador-02-a-confirmar-02.webp
wc26-panama-jogador-03-a-confirmar-03;Jogador 03 — a confirmar;Panamá;3;Goleiro;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-panama/wc26-panama-jogador-03-a-confirmar-03.webp
wc26-panama-jogador-04-a-confirmar-04;Jogador 04 — a confirmar;Panamá;4;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-panama/wc26-panama-jogador-04-a-confirmar-04.webp
wc26-panama-jogador-05-a-confirmar-05;Jogador 05 — a confirmar;Panamá;5;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-panama/wc26-panama-jogador-05-a-confirmar-05.webp
wc26-panama-jogador-06-a-confirmar-06;Jogador 06 — a confirmar;Panamá;6;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-panama/wc26-panama-jogador-06-a-confirmar-06.webp
wc26-panama-jogador-07-a-confirmar-07;Jogador 07 — a confirmar;Panamá;7;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-panama/wc26-panama-jogador-07-a-confirmar-07.webp
wc26-panama-jogador-08-a-confirmar-08;Jogador 08 — a confirmar;Panamá;8;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-panama/wc26-panama-jogador-08-a-confirmar-08.webp
wc26-panama-jogador-09-a-confirmar-09;Jogador 09 — a confirmar;Panamá;9;Defensor;comum;a-confirmar;assets/images/stickers/selecoes-2026/wc26-panama/wc26-panama-jogador-09-a-confirmar-09.webp
