id;nome;selecao/pagina;numero;posicao;raridade;caminho_da_imagem
sel-marrocos-hakimi-01;Hakimi;Marrocos;2;Lateral;ouro;assets/images/stickers/selecoes-2026/sel-marrocos-hakimi-01.webp
sel-marrocos-ziyech-02;Ziyech;Marrocos;7;Meia;rara;assets/images/stickers/selecoes-2026/sel-marrocos-ziyech-02.webp
sel-marrocos-amrabat-03;Amrabat;Marrocos;4;Volante;rara;assets/images/stickers/selecoes-2026/sel-marrocos-amrabat-03.webp
sel-marrocos-bounou-04;Bounou;Marrocos;1;Goleiro;rara;assets/images/stickers/selecoes-2026/sel-marrocos-bounou-04.webp
sel-japao-kubo-01;Kubo;Japão;20;Meia;rara;assets/images/stickers/selecoes-2026/sel-japao-kubo-01.webp
sel-japao-mitoma-02;Mitoma;Japão;7;Ponta;rara;assets/images/stickers/selecoes-2026/sel-japao-mitoma-02.webp
sel-japao-endo-03;Endo;Japão;6;Volante;comum;assets/images/stickers/selecoes-2026/sel-japao-endo-03.webp
sel-japao-suzuki-04;Suzuki;Japão;1;Goleiro;comum;assets/images/stickers/selecoes-2026/sel-japao-suzuki-04.webp
sel-coreia-do-sul-son-01;Son;Coreia do Sul;7;Atacante;ouro;assets/images/stickers/selecoes-2026/sel-coreia-do-sul-son-01.webp
sel-coreia-do-sul-kim-min-jae-02;Kim Min-jae;Coreia do Sul;4;Zagueiro;rara;assets/images/stickers/selecoes-2026/sel-coreia-do-sul-kim-min-jae-02.webp
sel-coreia-do-sul-lee-kang-in-03;Lee Kang-in;Coreia do Sul;18;Meia;rara;assets/images/stickers/selecoes-2026/sel-coreia-do-sul-lee-kang-in-03.webp
sel-coreia-do-sul-cho-04;Cho;Coreia do Sul;9;Atacante;comum;assets/images/stickers/selecoes-2026/sel-coreia-do-sul-cho-04.webp
